RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Keenan Allen (LAC),11.0,14.0,175.0,15.9,38.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,40.5,40.5,99.4%,10.0
2,CeeDee Lamb (DAL),11.0,14.0,151.0,13.7,30.0,5.0,1.0,1.0,14.0,1.0,0.0,1.0,39.5,39.5,100.0%,10.0
3,Brandin Cooks (DAL),9.0,10.0,173.0,19.2,37.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,32.3,32.3,58.1%,10.0
4,Amon-Ra St. Brown (DET),8.0,9.0,156.0,19.5,46.0,6.0,1.0,2.0,9.0,0.0,0.0,1.0,30.5,30.5,100.0%,10.0
5,Mike Evans (TB),6.0,10.0,143.0,23.8,43.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,26.3,26.3,97.1%,10.0
6,Noah Brown (HOU),7.0,8.0,172.0,24.6,34.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,24.2,24.2,43.0%,10.0
7,Ja'Marr Chase (CIN),5.0,6.0,124.0,24.8,64.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,23.4,23.4,100.0%,10.0
8,Tyler Lockett (SEA),8.0,10.0,92.0,11.5,20.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,23.2,23.2,92.9%,10.0
9,Chris Olave (NO),6.0,9.0,94.0,15.7,26.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,21.4,21.4,98.3%,10.0
10,Tyler Boyd (CIN),8.0,12.0,117.0,14.6,64.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,19.7,19.7,62.3%,10.0
11,Jayden Reed (GB),5.0,5.0,84.0,16.8,46.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,19.4,19.4,35.9%,10.0
12,Tank Dell (HOU),6.0,14.0,56.0,9.3,17.0,0.0,1.0,1.0,13.0,0.0,0.0,1.0,18.9,18.9,87.3%,10.0
13,Garrett Wilson (NYJ),9.0,14.0,93.0,10.3,41.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,18.3,18.3,98.0%,10.0
14,Courtland Sutton (DEN),8.0,11.0,53.0,6.6,30.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,17.3,17.3,83.4%,10.0
15,DK Metcalf (SEA),7.0,12.0,98.0,14.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16.8,16.8,98.1%,10.0
16,Michael Pittman Jr. (IND),8.0,12.0,84.0,10.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.4,16.4,94.8%,10.0
17,Deebo Samuel (SF),4.0,4.0,30.0,7.5,9.0,0.0,0.0,3.0,29.0,1.0,0.0,1.0,15.9,15.9,97.9%,10.0
18,Amari Cooper (CLE),6.0,9.0,98.0,16.3,28.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,15.8,15.8,96.1%,10.0
19,Elijah Moore (CLE),5.0,7.0,44.0,8.8,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15.4,15.4,39.1%,10.0
20,Michael Gallup (DAL),2.0,2.0,70.0,35.0,41.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,15.0,15.0,22.5%,10.0
21,Davante Adams (LV),6.0,13.0,86.0,14.3,42.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,14.6,14.6,100.0%,10.0
22,Brandon Aiyuk (SF),3.0,3.0,55.0,18.3,21.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,14.5,14.5,97.5%,10.0
23,Demario Douglas (NE),6.0,9.0,84.0,14.0,30.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,14.4,14.4,31.2%,10.0
24,Christian Kirk (JAC),6.0,11.0,104.0,17.3,39.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,14.4,14.4,91.6%,10.0
25,Jalen Guyton (LAC),4.0,6.0,41.0,10.3,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.1,14.1,2.9%,10.0
26,Quentin Johnston (LAC),4.0,4.0,34.0,8.5,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.4,13.4,30.3%,10.0
27,Trenton Irwin (CIN),2.0,4.0,54.0,27.0,32.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,13.4,13.4,4.4%,10.0
28,Zay Flowers (BAL),5.0,6.0,73.0,14.6,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.3,12.3,86.7%,10.0
29,Romeo Doubs (GB),3.0,5.0,31.0,10.3,20.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,12.1,12.1,48.7%,10.0
30,Dyami Brown (WAS),2.0,2.0,41.0,20.5,35.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,12.1,12.1,0.1%,10.0
31,A.T. Perry (NO),2.0,4.0,38.0,19.0,23.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,11.8,11.8,1.2%,10.0
32,Odell Beckham Jr. (BAL),1.0,2.0,40.0,40.0,40.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,48.2%,10.0
33,Jordan Addison (MIN),4.0,7.0,69.0,17.3,29.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,10.9,10.9,91.8%,10.0
34,DJ Moore (CHI),5.0,9.0,58.0,11.6,16.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,10.9,10.9,97.2%,10.0
35,Adam Thielen (CAR),6.0,10.0,42.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.2,10.2,95.2%,10.0
36,Gabe Davis (BUF),2.0,6.0,56.0,28.0,38.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,9.6,9.6,82.3%,10.0
37,Chris Godwin (TB),4.0,6.0,54.0,13.5,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.4,9.4,92.0%,10.0
38,Rondale Moore (ARI),5.0,8.0,43.0,8.6,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.3,9.3,26.0%,10.0
39,Jaxon Smith-Njigba (SEA),4.0,5.0,53.0,13.3,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.3,9.3,60.6%,10.0
40,Kyle Philips (TEN),3.0,5.0,61.0,20.3,29.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,9.1,9.1,0.7%,10.0
41,Dontayvion Wicks (GB),3.0,4.0,51.0,17.0,32.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,8.1,8.1,0.4%,10.0
42,Lawrence Cager (NYG),1.0,2.0,10.0,10.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,0.0%,10.0
