Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Dan Bailey,4,4,100.0,50,0,2,0,1,1,1,1,1,16.0,16.0,0.0%,FA,8,2019
2,Adam Vinatieri,3,4,75.0,55,0,0,0,1,2,0,1,1,14.0,14.0,0.2%,FA,8,2019
3,Josh Lambo,3,3,100.0,43,0,2,0,1,0,2,3,1,12.0,12.0,0.1%,FA,8,2019
4,Jason Myers,2,2,100.0,54,0,0,0,1,1,3,3,1,12.0,12.0,8.8%,SEA,8,2019
5,Cody Parkey,2,2,100.0,51,0,0,0,1,1,3,3,1,12.0,12.0,0.1%,FA,8,2019
6,Zane Gonzalez,3,3,100.0,50,0,0,2,0,1,0,0,1,11.0,11.0,0.1%,FA,8,2019
7,Chris Boswell,2,3,66.7,42,0,0,0,2,0,3,3,1,11.0,11.0,4.4%,PIT,8,2019
8,Matt Gay,3,3,100.0,48,0,2,0,1,0,0,0,1,10.0,10.0,30.7%,IND,8,2019
9,Eddy Pineiro,3,5,60.0,25,1,2,0,0,0,1,1,1,10.0,10.0,2.8%,CAR,8,2019
10,Dustin Hopkins,3,3,100.0,43,0,1,1,1,0,0,0,1,10.0,10.0,20.7%,CLE,8,2019
11,Ka'imi Fairbairn,2,2,100.0,40,0,0,1,1,0,3,3,1,10.0,10.0,89.8%,HOU,8,2019
12,Robbie Gould,1,1,100.0,20,0,1,0,0,0,6,6,1,9.0,9.0,0.1%,FA,8,2019
13,Mike Nugent,2,4,50.0,29,0,2,0,0,0,3,3,1,9.0,9.0,1.0%,FA,8,2019
14,Matt Prater,1,2,50.0,52,0,0,0,0,1,4,4,1,9.0,9.0,3.7%,ARI,8,2019
15,Austin Seibert,2,2,100.0,47,0,0,1,1,0,1,1,1,8.0,8.0,0.1%,FA,8,2019
16,Brandon McManus,2,2,100.0,29,0,2,0,0,0,1,1,1,7.0,7.0,0.1%,FA,8,2019
17,Wil Lutz,1,2,50.0,26,0,1,0,0,0,4,4,1,7.0,7.0,1.5%,DEN,8,2019
18,Daniel Carlson,1,1,100.0,44,0,0,0,1,0,3,3,1,7.0,7.0,9.8%,LV,8,2019
19,Matt Bryant,2,4,50.0,47,0,0,1,1,0,0,0,1,7.0,7.0,1.1%,FA,8,2019
20,Mason Crosby,1,1,100.0,35,0,0,1,0,0,4,4,1,7.0,7.0,0.1%,FA,8,2019
21,Greg Zuerlein,1,1,100.0,23,0,1,0,0,0,3,3,1,6.0,6.0,52.1%,NYJ,8,2019
22,Harrison Butker,1,2,50.0,28,0,1,0,0,0,3,3,1,6.0,6.0,98.8%,KC,8,2019
23,Chase McLaughlin,1,2,50.0,20,0,1,0,0,0,2,2,1,5.0,5.0,3.7%,TB,8,2019
24,Jake Elliott,1,1,100.0,37,0,0,1,0,0,2,3,1,5.0,5.0,95.3%,PHI,8,2019
25,Joey Slye,1,1,100.0,41,0,0,0,1,0,0,0,1,4.0,4.0,0.2%,NE,8,2019
26,Randy Bullock,1,1,100.0,28,0,1,0,0,0,1,1,1,4.0,4.0,0.0%,FA,8,2019
27,Jason Sanders,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,49.7%,MIA,8,2019
28,Aldrick Rosas,0,0,0.0,0,0,0,0,0,0,2,3,1,2.0,2.0,0.0%,FA,8,2019
29,Stephen Hauschka,0,1,0.0,0,0,0,0,0,0,1,2,1,1.0,1.0,0.0%,FA,8,2019
30,Sam Ficken,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,FA,8,2019
31,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,8,2019
32,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%,FA,8,2019
33,Kasey Redfern,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,8,2019
