Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Eric Kendricks,8,2,0.5,2,0,1,0,0,1,25.0,25.0,11.7%,DAL,6,2019
2,Devin Bush Jr.,4,3,0.0,1,1,0,1,1,1,24.8,24.8,0.4%,CLE,6,2019
3,Alec Ogletree,9,3,1.0,0,0,0,0,0,1,24.8,24.8,2.0%,FA,6,2019
4,Cory Littleton,9,5,0.0,1,0,0,1,0,1,22.8,22.8,0.0%,FA,6,2019
5,Nick Vigil,9,4,0.0,1,0,0,1,0,1,22.0,22.0,0.0%,DAL,6,2019
6,Anthony Barr,8,2,0.0,1,0,0,1,0,1,21.5,21.5,0.0%,FA,6,2019
7,K.J. Wright,5,3,0.0,1,1,0,0,0,1,21.3,21.3,0.0%,FA,6,2019
8,Alexander Johnson,6,3,1.5,0,0,0,0,0,1,19.8,19.8,0.0%,FA,6,2019
9,Wesley Woodyard,5,1,1.0,0,0,0,0,0,1,17.3,17.3,0.0%,FA,6,2019
10,David Mayo,8,4,0.5,0,0,0,0,0,1,17.0,17.0,0.0%,FA,6,2019
11,Kyle Van Noy,1,1,1.0,0,0,0,1,1,1,16.3,16.3,2.9%,BAL,6,2019
12,Robert Quinn,2,0,2.0,0,0,0,0,0,1,16.0,16.0,2.0%,FA,6,2019
13,Preston Smith,2,2,1.5,0,0,0,0,0,1,15.5,15.5,1.4%,GB,6,2019
14,Luke Kuechly,4,2,0.0,2,1,0,0,0,1,15.5,15.5,92.3%,FA,6,2019
15,Najee Goode,4,2,1.0,1,0,0,0,0,1,15.5,15.5,0.0%,FA,6,2019
16,Devin White,8,1,0.0,0,0,0,0,0,1,15.3,15.3,7.4%,PHI,6,2019
17,Markus Golden,0,3,0.5,0,0,0,1,1,1,14.3,14.3,0.1%,FA,6,2019
18,De'Vondre Campbell Sr.,8,1,0.0,0,0,0,0,0,1,12.8,12.8,2.1%,SF,6,2019
19,Troy Reeder,7,3,0.0,0,0,0,0,0,1,12.8,12.8,0.4%,LAR,6,2019
20,Lorenzo Carter,3,0,1.0,0,0,1,0,0,1,12.5,12.5,0.2%,ATL,6,2019
21,Za'Darius Smith,3,2,1.0,0,0,0,0,0,1,12.5,12.5,0.8%,CLE,6,2019
22,Harold Landry III,6,1,0.0,0,0,0,0,0,1,12.3,12.3,12.1%,TEN,6,2019
23,Rashaan Evans,6,4,0.0,0,0,0,0,0,1,12.0,12.0,0.1%,FA,6,2019
