Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Cameron Jordan,6,2,3.5,0,0,0,0,0,1,32.0,32.0,1.1%,NO,17,2021
2,Jadeveon Clowney,4,2,2.0,0,0,1,0,0,1,22.0,22.0,16.6%,CAR,17,2021
3,Trevis Gipson,2,1,2.0,0,0,2,0,0,1,19.8,19.8,0.1%,SEA,17,2021
4,Chris Jones,4,0,2.0,0,0,0,0,0,1,19.0,19.0,11.9%,KC,17,2021
5,Anthony Nelson,3,0,1.0,1,0,0,1,0,1,19.0,19.0,0.1%,TB,17,2021
6,Josh Sweat,3,2,1.5,2,0,0,0,0,1,17.5,17.5,4.2%,PHI,17,2021
7,Cameron Heyward,4,0,1.0,2,0,0,0,0,1,15.5,15.5,8.3%,PIT,17,2021
8,Greg Rousseau,3,0,1.0,0,0,1,0,0,1,15.0,15.0,8.2%,BUF,17,2021
9,Aaron Donald,3,2,0.5,0,0,1,0,0,1,14.5,14.5,8.8%,FA,17,2021
10,Christian Wilkins,6,4,0.0,0,0,0,0,0,1,14.5,14.5,18.8%,LV,17,2021
11,Harrison Phillips,1,3,1.0,0,0,0,1,0,1,14.3,14.3,9.8%,MIN,17,2021
12,A'Shawn Robinson,4,2,1.0,0,0,0,0,0,1,14.0,14.0,0.6%,CAR,17,2021
13,Dorance Armstrong Jr.,3,2,1.0,1,0,0,0,0,1,14.0,14.0,0.9%,WAS,17,2021
14,Derrick Brown,3,0,1.0,0,0,0,0,0,1,13.5,13.5,26.1%,CAR,17,2021
15,Angelo Blackson,3,0,1.0,0,0,0,0,0,1,13.5,13.5,0.0%,FA,17,2021
16,DeForest Buckner,4,4,0.5,0,0,0,0,0,1,13.5,13.5,28.3%,IND,17,2021
17,Jerry Tillery,2,2,1.0,0,0,0,0,0,1,13.5,13.5,0.1%,MIN,17,2021
18,Darius Philon,6,2,0.0,1,0,0,0,0,1,12.0,12.0,0.0%,FA,17,2021
19,Folorunso Fatukasi,4,0,0.0,0,0,0,0,0,1,11.0,11.0,0.1%,HOU,17,2021
20,Austin Bryant,2,2,1.0,0,0,0,0,0,1,11.0,11.0,3.0%,FA,17,2021
21,Denico Autry,3,0,1.0,0,0,0,0,0,1,11.0,11.0,0.8%,HOU,17,2021
22,Ed Oliver,2,2,1.0,0,0,0,0,0,1,11.0,11.0,8.6%,BUF,17,2021
23,Josh Hines-Allen,4,3,0.0,0,0,0,0,0,1,10.8,10.8,46.7%,JAC,17,2021
24,Kyle Peko,1,1,1.0,0,0,1,0,0,1,10.3,10.3,0.1%,DET,17,2021
25,Arik Armstead,3,5,0.5,0,0,0,0,0,1,10.3,10.3,1.5%,JAC,17,2021
26,Bilal Nichols,2,2,0.0,1,0,0,1,0,1,10.0,10.0,0.1%,ARI,17,2021
27,Jonathan Harris,5,3,0.0,0,0,0,0,0,1,9.8,9.8,0.1%,MIA,17,2021
28,Jarran Reed,1,2,1.0,0,0,0,0,0,1,9.5,9.5,1.4%,SEA,17,2021
29,Christian Barmore,1,2,1.0,0,0,0,0,0,1,9.5,9.5,1.4%,NE,17,2021
30,Henry Mondeaux,2,0,1.0,0,0,0,0,0,1,9.5,9.5,5.0%,FA,17,2021
31,Joey Bosa,3,3,0.0,0,0,0,0,0,1,9.3,9.3,6.3%,LAC,17,2021
32,Frank Clark,1,1,1.0,0,0,0,0,0,1,8.8,8.8,0.0%,FA,17,2021
33,Christian Ringo,2,4,0.0,0,0,0,0,0,1,8.5,8.5,0.0%,FA,17,2021
34,Randy Gregory,3,2,0.0,0,0,0,0,0,1,8.5,8.5,0.1%,FA,17,2021
35,Zach Sieler,3,5,0.0,0,0,0,0,0,1,8.3,8.3,9.9%,MIA,17,2021
36,Arden Key,1,0,1.0,0,0,0,0,0,1,8.0,8.0,0.3%,TEN,17,2021
37,Mario Addison,1,0,1.0,0,0,0,0,0,1,8.0,8.0,4.0%,FA,17,2021
38,Yannick Ngakoue,1,0,1.0,0,0,0,0,0,1,8.0,8.0,1.6%,FA,17,2021
39,Javon Hargrave,2,3,0.0,0,0,0,0,0,1,7.8,7.8,4.3%,SF,17,2021
40,Larry Ogunjobi,3,1,0.0,0,0,0,0,0,1,7.8,7.8,0.6%,PIT,17,2021
41,James Lynch,3,1,0.0,0,0,0,0,0,1,7.8,7.8,5.6%,TEN,17,2021
42,Leonard Williams,2,6,0.0,0,0,0,0,0,1,7.5,7.5,6.6%,SEA,17,2021
43,Shy Tuttle,2,2,0.0,0,0,0,0,0,1,7.0,7.0,0.2%,CAR,17,2021
44,Austin Johnson,4,1,0.0,0,0,0,0,0,1,6.8,6.8,0.3%,BUF,17,2021
45,Steven Means,4,1,0.0,0,0,0,0,0,1,6.8,6.8,0.0%,FA,17,2021
46,DaVon Hamilton,4,1,0.0,0,0,0,0,0,1,6.8,6.8,0.1%,JAC,17,2021
47,Fletcher Cox,2,2,0.5,0,0,0,0,0,1,6.5,6.5,1.1%,FA,17,2021
48,Darrell Taylor,2,1,0.0,0,0,0,0,0,1,6.3,6.3,0.1%,CHI,17,2021
49,Khyiris Tonga,1,1,0.0,0,0,0,1,0,1,6.3,6.3,0.0%,ARI,17,2021
50,Dante Fowler Jr.,2,1,0.0,0,0,0,0,0,1,6.3,6.3,0.3%,WAS,17,2021
51,Kwity Paye,0,3,1.0,0,0,0,0,0,1,6.3,6.3,1.9%,IND,17,2021
52,Julian Okwara,2,1,0.0,0,0,0,0,0,1,6.3,6.3,0.0%,ARI,17,2021
53,Justin Houston,1,1,0.0,0,0,0,1,0,1,6.3,6.3,0.0%,FA,17,2021
54,Christian Covington,2,1,0.0,0,0,0,0,0,1,6.3,6.3,0.0%,FA,17,2021
55,Corey Peters,1,1,0.0,1,0,0,0,0,1,6.3,6.3,2.0%,FA,17,2021
56,Sheldon Richardson,2,1,0.0,0,0,0,0,0,1,6.3,6.3,1.0%,FA,17,2021
57,Quincy Roche,2,1,0.0,0,0,0,0,0,1,6.3,6.3,0.6%,FA,17,2021
58,Calais Campbell,4,0,0.0,0,0,0,0,0,1,6.0,6.0,3.3%,MIA,17,2021
59,Kenny Willekes,3,2,0.0,0,0,0,0,0,1,6.0,6.0,2.0%,FA,17,2021
60,Roy Lopez,3,2,0.0,0,0,0,0,0,1,6.0,6.0,0.0%,ARI,17,2021
61,Margus Hunt,2,0,0.0,0,0,0,0,0,1,5.5,5.5,0.0%,FA,17,2021
62,Marcus Davenport,0,2,0.0,0,0,0,1,0,1,5.5,5.5,0.7%,DET,17,2021
63,Raekwon Davis,1,2,0.0,0,0,0,0,0,1,5.5,5.5,0.1%,IND,17,2021
64,Sam Hubbard,2,3,0.0,0,0,0,0,0,1,5.3,5.3,8.5%,CIN,17,2021
65,Alim McNeill,2,3,0.0,0,0,0,0,0,1,5.3,5.3,1.0%,DET,17,2021
66,Grady Jarrett,2,3,0.0,0,0,0,0,0,1,5.3,5.3,1.8%,ATL,17,2021
67,Armon Watts,1,5,0.0,0,0,0,0,0,1,5.3,5.3,0.1%,NE,17,2021
68,Yetur Gross-Matos,3,1,0.0,0,0,0,0,0,1,5.3,5.3,0.1%,SF,17,2021
69,Tommy Togiai,2,3,0.0,0,0,0,0,0,1,5.3,5.3,3.0%,FA,17,2021
70,Jonathan Allen,2,3,0.0,0,0,0,0,0,1,5.3,5.3,6.1%,WAS,17,2021
71,David Onyemata,1,1,0.0,0,0,0,0,0,1,4.8,4.8,2.5%,ATL,17,2021
72,Jaelan Phillips,1,1,0.0,0,0,0,0,0,1,4.8,4.8,13.4%,MIA,17,2021
73,A.J. Epenesa,1,1,0.0,0,0,0,0,0,1,4.8,4.8,0.7%,BUF,17,2021
74,Bryan Mone,1,2,0.0,1,0,0,0,0,1,4.5,4.5,0.0%,FA,17,2021
75,Naquan Jones,2,0,0.0,1,0,0,0,0,1,4.5,4.5,0.0%,MIA,17,2021
76,Tarell Basham,2,2,0.0,0,0,0,0,0,1,4.5,4.5,0.0%,FA,17,2021
77,Justin Jones,2,2,0.0,0,0,0,0,0,1,4.5,4.5,0.7%,ARI,17,2021
78,Al-Quadin Muhammad,2,2,0.0,0,0,0,0,0,1,4.5,4.5,0.1%,FA,17,2021
79,Emmanuel Ogbah,3,0,0.0,0,0,0,0,0,1,4.5,4.5,0.1%,MIA,17,2021
80,B.J. Hill,2,2,0.0,0,0,0,0,0,1,4.5,4.5,1.4%,CIN,17,2021
81,D.J. Jones,1,0,0.0,0,0,0,0,0,1,4.0,4.0,0.9%,DEN,17,2021
82,Steve McLendon,1,0,0.0,0,0,0,0,0,1,4.0,4.0,0.0%,FA,17,2021
83,Michael Dwumfour,1,0,0.0,0,0,0,0,0,1,4.0,4.0,4.0%,FA,17,2021
84,Tim Settle Jr.,1,0,0.0,0,0,0,0,0,1,4.0,4.0,0.1%,HOU,17,2021
85,Brandon Williams,1,0,0.0,0,0,0,0,0,1,4.0,4.0,0.0%,FA,17,2021
86,Carlos Dunlap II,1,0,0.0,0,0,0,0,0,1,4.0,4.0,3.0%,FA,17,2021
87,Lawrence Guy Sr.,2,1,0.0,0,0,0,0,0,1,3.8,3.8,4.0%,FA,17,2021
88,Eddie Goldman,2,1,0.0,0,0,0,0,0,1,3.8,3.8,0.1%,ATL,17,2021
89,Maxx Crosby,2,1,0.0,0,0,0,0,0,1,3.8,3.8,73.0%,LV,17,2021
90,Ndamukong Suh,2,1,0.0,0,0,0,0,0,1,3.8,3.8,0.0%,FA,17,2021
91,Greg Gaines,2,1,0.0,0,0,0,0,0,1,3.8,3.8,0.1%,TB,17,2021
92,Roy Robertson-Harris,2,1,0.0,0,0,0,0,0,1,3.8,3.8,0.1%,JAC,17,2021
