Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,C.J. Uzomah,3,3,91,30.3,55,2,2,0,0,0,0,1,24.1,24.1,0.0%,FA,7,2021
2,Kyle Pitts,7,8,163,23.3,39,5,0,0,0,0,0,1,23.3,23.3,97.2%,ATL,7,2021
3,Mike Gesicki,7,8,85,12.1,27,1,1,0,0,0,0,1,21.5,21.5,3.0%,CIN,7,2021
4,Foster Moreau,6,6,60,10.0,21,1,1,0,0,0,0,1,18.0,18.0,0.0%,NO,7,2021
5,Robert Tonyan,4,5,63,15.8,25,2,1,0,0,0,0,1,16.3,16.3,0.0%,MIN,7,2021
6,Zach Ertz,3,5,66,22.0,47,1,1,1,4,0,0,1,16.0,16.0,3.1%,WAS,7,2021
7,Travis Kelce,7,12,65,9.3,24,1,0,0,0,0,0,1,13.5,13.5,100.0%,KC,7,2021
8,Dallas Goedert,3,5,70,23.3,25,3,0,0,0,0,0,1,12.0,12.0,86.6%,PHI,7,2021
9,Mo Alie-Cox,3,3,25,8.3,11,0,1,0,0,0,0,1,11.5,11.5,0.1%,IND,7,2021
10,Ricky Seals-Jones,6,7,51,8.5,14,0,0,0,0,0,0,1,11.1,11.1,0.0%,FA,7,2021
11,T.J. Hockenson,6,9,48,8.0,21,1,0,0,0,0,0,1,10.8,10.8,76.0%,MIN,7,2021
12,MyCole Pruitt,2,3,27,13.5,22,1,1,0,0,0,0,1,10.7,10.7,0.0%,PIT,7,2021
13,Evan Engram,6,8,44,7.3,18,0,0,0,0,0,0,1,10.4,10.4,97.1%,JAC,7,2021
14,Hunter Henry,2,4,23,11.5,22,1,1,0,0,0,0,1,10.3,10.3,19.0%,NE,7,2021
15,Tyler Higbee,5,8,46,9.2,16,0,0,0,0,0,0,1,9.6,9.6,1.3%,LAR,7,2021
16,Cole Kmet,5,6,43,8.6,22,1,0,0,0,0,0,1,9.3,9.3,56.2%,CHI,7,2021
17,Noah Fant,5,7,39,7.8,9,0,0,0,0,0,0,1,8.9,8.9,19.4%,SEA,7,2021
18,Mark Andrews,3,7,48,16.0,24,2,0,0,0,0,0,1,7.8,7.8,99.8%,BAL,7,2021
19,Jonnu Smith,2,5,52,26.0,28,2,0,1,5,0,0,1,7.7,7.7,5.5%,MIA,7,2021
20,Durham Smythe,3,4,37,12.3,18,0,0,0,0,0,0,1,6.7,6.7,0.1%,MIA,7,2021
21,Hayden Hurst,3,4,35,11.7,15,0,0,0,0,0,0,1,6.5,6.5,2.2%,LAC,7,2021
22,Adam Shaheen,4,5,23,5.8,7,0,0,0,0,0,0,1,6.3,6.3,0.0%,FA,7,2021
23,Austin Hooper,2,3,42,21.0,34,1,0,0,0,0,0,1,6.2,6.2,0.2%,NE,7,2021
24,Marcedes Lewis,3,3,31,10.3,17,0,0,0,0,0,0,1,6.1,6.1,0.0%,CHI,7,2021
25,Gerald Everett,3,3,11,3.7,10,0,0,1,12,0,0,1,5.3,5.3,0.8%,CHI,7,2021
26,Jesse James,3,3,20,6.7,8,0,0,0,0,0,0,1,5.0,5.0,0.0%,FA,7,2021
27,Charlie Woerner,2,2,30,15.0,27,1,0,0,0,0,0,1,5.0,5.0,0.0%,ATL,7,2021
28,Josh Oliver,2,5,29,14.5,19,0,0,0,0,0,0,1,4.9,4.9,0.1%,MIN,7,2021
