Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Kyle Hamilton,7,2,3,1,0,1,0,0,1,34.5,34.5,37.1%,BAL,3,2023
2,Brian Branch,11,0,0,2,0,0,0,0,1,27.0,27.0,46.4%,DET,3,2023
3,Alontae Taylor,5,0,1,5,0,0,0,0,1,24.0,24.0,0.4%,NO,3,2023
4,Levi Wallace,4,2,0,4,2,0,0,0,1,23.5,23.5,0.2%,DEN,3,2023
5,Jevon Holland,7,1,0,1,0,2,0,0,1,20.8,20.8,9.3%,MIA,3,2023
6,Dax Hill,7,1,1,0,0,0,0,0,1,20.3,20.3,4.2%,CIN,3,2023
7,Jessie Bates III,6,5,0,1,1,0,0,0,1,19.3,19.3,67.6%,ATL,3,2023
8,Reed Blankenship,6,1,0,1,1,0,0,0,1,18.8,18.8,27.8%,PHI,3,2023
9,Roger McCreary,5,5,1,0,0,0,0,0,1,17.8,17.8,4.4%,TEN,3,2023
10,Akayleb Evans,7,4,0,0,0,1,0,0,1,17.5,17.5,0.1%,MIN,3,2023
11,Byron Murphy Jr.,9,1,0,2,0,0,0,0,1,17.3,17.3,2.8%,MIN,3,2023
12,Brandon Stephens,8,3,0,2,0,0,0,0,1,17.3,17.3,0.9%,BAL,3,2023
13,Devon Witherspoon,8,3,0,2,0,0,0,0,1,17.3,17.3,36.5%,SEA,3,2023
14,Kendall Fuller,2,6,0,3,1,0,0,0,1,17.0,17.0,2.0%,MIA,3,2023
15,Sean Murphy-Bunting,6,0,0,0,0,1,1,0,1,17.0,17.0,1.6%,ARI,3,2023
16,Terell Smith,7,3,0,1,0,0,0,0,1,16.8,16.8,1.1%,CHI,3,2023
17,Kei'Trel Clark,8,2,0,2,0,0,0,0,1,16.5,16.5,0.1%,ARI,3,2023
18,Julian Blackmon,6,6,0,0,0,0,0,0,1,16.0,16.0,6.1%,IND,3,2023
19,Jordan Whitehead,9,1,0,1,0,0,0,0,1,15.8,15.8,6.6%,TB,3,2023
20,Alohi Gilman,3,2,0,1,0,1,1,0,1,15.5,15.5,6.9%,LAC,3,2023
21,Ryan Neal,6,5,0,0,0,0,0,0,1,15.3,15.3,0.1%,FA,3,2023
22,Amani Hooker,9,2,0,0,0,0,0,0,1,15.0,15.0,19.7%,TEN,3,2023
23,Kristian Fulton,7,2,0,0,0,0,0,0,1,14.5,14.5,0.2%,LAC,3,2023
24,Delarrin Turner-Yell,8,3,0,0,0,0,0,0,1,14.3,14.3,0.1%,DEN,3,2023
25,JuJu Brents,4,0,0,0,0,1,1,0,1,14.0,14.0,1.3%,IND,3,2023
26,Michael Davis,8,0,0,1,0,0,0,0,1,13.5,13.5,0.1%,WAS,3,2023
27,Minkah Fitzpatrick,7,4,0,0,0,0,0,0,1,13.5,13.5,22.8%,PIT,3,2023
28,Patrick Peterson,4,1,0,1,1,0,0,0,1,13.3,13.3,0.6%,FA,3,2023
29,Kyle Dugger,5,2,0,1,0,0,0,0,1,13.0,13.0,17.4%,NE,3,2023
30,Shaq Griffin,7,3,0,0,0,0,0,0,1,12.8,12.8,0.1%,MIN,3,2023
31,Rudy Ford,6,1,0,2,0,0,0,0,1,12.8,12.8,0.1%,FA,3,2023
32,Rayshawn Jenkins,6,1,0,0,0,0,0,0,1,12.3,12.3,6.4%,SEA,3,2023
33,Camryn Bynum,5,1,0,1,0,0,0,0,1,12.3,12.3,48.3%,MIN,3,2023
34,Jabrill Peppers,6,1,0,0,0,0,0,0,1,12.3,12.3,4.0%,NE,3,2023
35,Antoine Winfield Jr.,5,6,0,0,0,0,0,0,1,12.0,12.0,66.8%,TB,3,2023
36,Vonn Bell,8,0,0,0,0,0,0,0,1,12.0,12.0,1.2%,CIN,3,2023
37,Asante Samuel Jr.,6,0,0,2,0,0,0,0,1,12.0,12.0,1.0%,LAC,3,2023
38,Jalen Thompson,5,3,0,1,0,0,0,0,1,11.3,11.3,8.1%,ARI,3,2023
39,Isaac Yiadom,2,3,0,4,0,0,0,0,1,11.3,11.3,0.1%,SF,3,2023
40,Adrian Amos,6,1,0,1,0,0,0,0,1,11.3,11.3,0.1%,FA,3,2023
41,Tre'Davious White,3,0,0,1,1,0,0,0,1,11.0,11.0,0.5%,LAR,3,2023
42,Denzel Ward,3,1,0,2,0,0,0,0,1,10.8,10.8,1.3%,CLE,3,2023
43,Marcus Peters,5,1,0,0,0,0,0,0,1,10.8,10.8,2.0%,FA,3,2023
