Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Joe Flacco,27,42,64.3,368,8.8,3,2,0,2,1,0,0,1,26.8,26.8,0.7%,IND,16,2023
2,Josh Allen,15,21,71.4,237,11.3,1,1,1,5,15,2,0,1,26.0,26.0,100.0%,BUF,16,2023
3,Derek Carr,27,40,67.5,319,8.0,3,1,2,2,2,0,0,1,26.0,26.0,7.1%,NO,16,2023
4,Justin Fields,15,27,55.6,170,6.3,1,1,1,9,97,1,0,1,25.5,25.5,6.0%,PIT,16,2023
5,Jalen Hurts,24,38,63.2,301,7.9,1,1,1,8,34,1,0,1,24.4,24.4,99.9%,PHI,16,2023
6,Jordan Love,17,28,60.7,219,7.8,2,0,1,2,12,1,0,1,24.0,24.0,95.3%,GB,16,2023
7,Russell Wilson,25,37,67.6,238,6.4,2,0,5,4,20,0,0,1,23.5,23.5,6.9%,PIT,16,2023
8,Lamar Jackson,23,35,65.7,252,7.2,2,0,2,7,45,0,0,1,22.6,22.6,99.9%,BAL,16,2023
9,Bryce Young,23,36,63.9,312,8.7,2,0,2,4,17,0,0,1,22.2,22.2,10.1%,CAR,16,2023
10,Matthew Stafford,24,34,70.6,328,9.6,2,0,1,1,-4,0,0,1,20.7,20.7,49.9%,LAR,16,2023
11,Nick Mullens,22,36,61.1,411,11.4,2,4,4,1,1,0,0,1,20.5,20.5,0.1%,MIN,16,2023
12,Kyler Murray,24,38,63.2,230,6.1,2,0,2,5,32,0,0,1,20.4,20.4,94.7%,ARI,16,2023
13,Mason Rudolph,17,27,63.0,290,10.7,2,0,1,2,4,0,0,1,20.0,20.0,0.1%,TEN,16,2023
14,Baker Mayfield,26,35,74.3,283,8.1,2,0,2,5,5,0,0,1,19.8,19.8,31.7%,TB,16,2023
15,Dak Prescott,20,32,62.5,253,7.9,2,0,4,5,25,0,1,1,18.6,18.6,96.3%,DAL,16,2023
16,Patrick Mahomes II,27,44,61.4,235,5.3,1,1,4,10,53,0,0,1,17.7,17.7,99.9%,KC,16,2023
17,Geno Smith,25,36,69.4,227,6.3,2,0,3,1,2,0,0,1,17.3,17.3,21.9%,SEA,16,2023
18,Davis Mills,15,32,46.9,149,4.7,2,0,0,2,9,0,0,1,16.9,16.9,0.1%,HOU,16,2023
19,Easton Stick,23,33,69.7,215,6.5,0,0,5,7,25,1,0,1,16.6,16.6,0.0%,LAC,16,2023
20,Bailey Zappe,25,33,75.8,256,7.8,2,0,2,1,2,0,1,1,16.4,16.4,0.0%,KC,16,2023
21,Jake Browning,28,42,66.7,335,8.0,1,3,3,1,0,0,0,1,16.4,16.4,0.2%,CIN,16,2023
22,Tua Tagovailoa,24,37,64.9,293,7.9,1,0,1,2,-2,0,0,1,15.5,15.5,80.1%,MIA,16,2023
23,Jared Goff,30,40,75.0,257,6.4,1,0,1,3,0,0,0,1,14.3,14.3,73.4%,DET,16,2023
24,Taylor Heinicke,23,33,69.7,229,6.9,1,0,1,2,10,0,0,1,14.2,14.2,0.0%,LAC,16,2023
25,Trevor Siemian,27,49,55.1,217,4.4,1,1,0,4,18,0,1,1,11.5,11.5,0.0%,FA,16,2023
26,Trevor Lawrence,17,29,58.6,211,7.3,1,2,3,4,29,0,1,1,11.3,11.3,66.9%,JAC,16,2023
27,Tyrod Taylor,7,16,43.8,133,8.3,1,1,0,2,21,0,0,1,10.4,10.4,0.2%,NYJ,16,2023
28,Gardner Minshew II,20,37,54.1,201,5.4,0,1,6,4,31,0,0,1,10.1,10.1,3.9%,LV,16,2023
29,Ryan Tannehill,18,26,69.2,152,5.8,0,0,6,2,37,0,0,1,9.8,9.8,0.1%,FA,16,2023
30,Jacoby Brissett,10,13,76.9,100,7.7,1,0,0,1,10,0,0,1,9.0,9.0,0.9%,NE,16,2023
31,C.J. Beathard,11,15,73.3,94,6.3,1,0,1,1,6,0,0,1,8.4,8.4,0.0%,FA,16,2023
32,Sam Darnold,8,14,57.1,81,5.8,1,1,2,1,9,0,0,1,7.1,7.1,6.3%,MIN,16,2023
33,Brock Purdy,18,32,56.3,255,8.0,0,4,2,1,2,0,0,1,6.4,6.4,92.4%,SF,16,2023
34,Tommy DeVito,9,16,56.3,55,3.4,0,0,1,1,5,0,0,1,2.7,2.7,0.1%,NYG,16,2023
35,Aidan O'Connell,9,21,42.9,62,3.0,0,0,2,4,-4,0,0,1,2.1,2.1,0.8%,LV,16,2023
36,Dorian Thompson-Robinson,1,2,50.0,6,3.0,0,0,1,1,-5,0,0,1,1.7,1.7,0.0%,CLE,16,2023
37,Case Keenum,11,17,64.7,62,3.6,0,2,3,0,0,0,0,1,0.5,0.5,0.0%,HOU,16,2023
38,Sam Howell,6,22,27.3,56,2.5,0,2,1,0,0,0,0,1,0.2,0.2,0.7%,SEA,16,2023
39,Kenny Pickett,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,PHI,16,2023
40,Jayden Daniels,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,89.2%,WAS,16,2023
41,Bo Nix,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,15.7%,DEN,16,2023
42,Zach Wilson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,DEN,16,2023
43,Kyle Trask,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TB,16,2023
44,Sam Ehlinger,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,IND,16,2023
45,Sean Clifford,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,GB,16,2023
46,Jake Fromm,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,DET,16,2023
47,Tyler Huntley,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BAL,16,2023
48,Shane Buechele,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BUF,16,2023
49,Jake Luton,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CAR,16,2023
50,Desmond Ridder,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,ARI,16,2023
51,Feleipe Franks,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CAR,16,2023
52,Trey Lance,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,DAL,16,2023
53,Mac Jones,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,JAC,16,2023
54,Aaron Rodgers,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,72.2%,NYJ,16,2023
55,Michael Pratt,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,TB,16,2023
56,Clayton Tune,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,ARI,16,2023
57,Tanner Mordecai,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,SF,16,2023
58,Tyson Bagent,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,CHI,16,2023
59,Jordan Travis,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,NYJ,16,2023
60,Devin Leary,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BAL,16,2023
61,Jake Haener,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NO,16,2023
62,Tanner McKee,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,PHI,16,2023
63,John Rhys Plumlee,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,JAC,16,2023
64,Jack Plummer,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CAR,16,2023
65,Jason Bean,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,IND,16,2023
66,Joe Milton III,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,NE,16,2023
67,Carter Bradley,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,LV,16,2023
68,Austin Reed,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CHI,16,2023
69,Michael Penix Jr.,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.7%,ATL,16,2023
70,Caleb Williams,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,87.6%,CHI,16,2023
71,Kedon Slovis,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,HOU,16,2023
72,Spencer Rattler,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3%,NO,16,2023
73,Will Levis,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,13.7%,TEN,16,2023
74,Malik Cunningham,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BAL,16,2023
75,Joe Burrow,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,98.2%,CIN,16,2023
76,J.J. McCarthy,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.8%,MIN,16,2023
77,C.J. Stroud,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,99.3%,HOU,16,2023
78,Adrian Martinez,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYJ,16,2023
79,Drake Maye,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,4.9%,NE,16,2023
80,Hendon Hooker,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,DET,16,2023
81,Sam Hartman,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WAS,16,2023
82,Anthony Richardson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,98.3%,IND,16,2023
83,Malik Willis,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,GB,16,2023
84,Stetson Bennett,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,LAR,16,2023
85,Skylar Thompson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,MIA,16,2023
86,Andy Dalton,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,CAR,16,2023
87,Ben Chappell,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WAS,16,2023
88,Adam Froman,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,ATL,16,2023
89,Erik Ainge,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NYJ,16,2023
90,Hunter Cantwell,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BAL,16,2023
91,Kirk Cousins,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,64.2%,ATL,16,2023
92,Josh Johnson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,BAL,16,2023
93,Taysom Hill,0,0,0.0,0,0.0,0,0,0,2,2,0,0,1,0.0,0.0,45.9%,NO,16,2023
94,Logan Woodside,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CIN,16,2023
95,Mike White,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,BUF,16,2023
96,Joshua Dobbs,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,SF,16,2023
97,Mitchell Trubisky,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,BUF,16,2023
98,Deshaun Watson,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,38.9%,CLE,16,2023
