Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Christian McCaffrey,20,106,5.3,18,0,3,7,8,71,10.1,1,0,1,48.7,48.7,100.0%,SF,4,2023
2,David Montgomery,32,121,3.8,16,0,3,2,2,20,10.0,0,0,1,34.1,34.1,95.7%,DET,4,2023
3,Josh Jacobs,17,58,3.4,9,0,1,8,11,81,10.1,0,0,1,27.9,27.9,99.4%,GB,4,2023
4,Kyren Williams,25,103,4.1,20,1,2,3,3,24,8.0,0,0,1,27.7,27.7,99.9%,LAR,4,2023
5,De'Von Achane,8,101,12.6,55,1,2,3,5,19,6.3,0,0,1,27.0,27.0,99.3%,MIA,4,2023
6,Isiah Pacheco,20,115,5.8,48,1,1,3,3,43,14.3,0,0,1,24.8,24.8,99.9%,KC,4,2023
7,Derrick Henry,22,122,5.5,29,1,1,1,1,11,11.0,0,0,1,24.4,24.4,99.9%,BAL,4,2023
8,Khalil Herbert,18,103,5.7,24,2,0,4,5,19,4.8,1,0,1,22.2,22.2,26.2%,CHI,4,2023
9,Alvin Kamara,11,51,4.6,13,0,0,13,14,33,2.5,0,0,1,21.4,21.4,98.5%,NO,4,2023
10,Jaleel McLaughlin,7,72,10.3,31,1,0,3,3,32,10.7,1,0,1,19.4,19.4,36.0%,DEN,4,2023
11,Bijan Robinson,14,105,7.5,38,2,0,5,5,32,6.4,0,0,1,18.7,18.7,100.0%,ATL,4,2023
12,D'Andre Swift,14,56,4.0,8,0,1,4,4,23,5.8,0,0,1,17.9,17.9,94.7%,CHI,4,2023
13,James Cook,12,29,2.4,8,0,1,1,1,48,48.0,0,0,1,14.7,14.7,99.1%,BUF,4,2023
14,Kenneth Walker III,17,79,4.6,31,1,1,0,0,0,0.0,0,0,1,13.9,13.9,98.0%,SEA,4,2023
15,Brian Robinson Jr.,14,45,3.2,15,0,1,2,2,6,3.0,0,0,1,13.1,13.1,90.8%,WAS,4,2023
16,Matt Breida,14,30,2.1,5,0,0,5,5,48,9.6,0,0,1,12.8,12.8,0.0%,FA,4,2023
17,Dameon Pierce,24,81,3.4,13,0,0,1,2,27,27.0,0,0,1,11.8,11.8,6.1%,HOU,4,2023
18,Jaylen Warren,8,29,3.6,18,0,0,6,6,26,4.3,0,0,1,11.5,11.5,87.9%,PIT,4,2023
19,Najee Harris,14,71,5.1,23,1,0,1,2,32,32.0,0,0,1,11.3,11.3,93.3%,PIT,4,2023
20,Rachaad White,15,56,3.7,11,0,0,3,3,22,7.3,0,0,1,10.8,10.8,99.0%,TB,4,2023
21,Alexander Mattison,17,95,5.6,17,0,0,1,1,3,3.0,0,0,1,10.8,10.8,7.9%,LV,4,2023
22,Travis Etienne Jr.,20,55,2.8,7,0,0,3,3,17,5.7,0,0,1,10.2,10.2,99.9%,JAC,4,2023
23,Breece Hall,6,56,9.3,43,1,0,3,4,13,4.3,0,0,1,9.9,9.9,100.0%,NYJ,4,2023
24,Jerome Ford,9,26,2.9,10,0,0,5,6,19,3.8,0,0,1,9.5,9.5,80.4%,CLE,4,2023
25,Jahmyr Gibbs,8,40,5.0,9,0,0,4,5,11,2.8,0,0,1,9.1,9.1,99.9%,DET,4,2023
26,Tony Pollard,11,47,4.3,16,0,0,3,3,13,4.3,0,0,1,9.0,9.0,90.8%,TEN,4,2023
27,Zack Moss,18,70,3.9,20,1,0,0,1,0,0.0,0,0,1,9.0,9.0,85.3%,CIN,4,2023
28,Devin Singletary,7,25,3.6,9,0,0,1,1,11,11.0,0,0,1,8.8,8.8,87.8%,NYG,4,2023
29,Tyjae Spears,5,40,8.0,22,1,0,3,4,18,6.0,0,0,1,8.8,8.8,87.2%,TEN,4,2023
30,Joe Mixon,14,67,4.8,13,0,0,1,1,9,9.0,0,0,1,8.6,8.6,99.1%,HOU,4,2023
31,Ronnie Rivers,9,47,5.2,9,0,0,2,2,10,5.0,0,0,1,7.7,7.7,0.1%,LAR,4,2023
32,Latavius Murray,4,32,8.0,29,1,0,2,2,24,12.0,0,0,1,7.6,7.6,0.0%,FA,4,2023
33,Chuba Hubbard,14,41,2.9,7,0,0,2,2,12,6.0,0,0,1,7.3,7.3,61.7%,CAR,4,2023
34,Cam Akers,5,40,8.0,10,0,0,2,2,11,5.5,0,0,1,7.1,7.1,1.5%,HOU,4,2023
35,Gus Edwards,15,48,3.2,16,0,0,2,3,1,0.5,0,0,1,6.9,6.9,78.0%,LAC,4,2023
36,James Conner,11,52,4.7,11,0,0,1,2,4,4.0,0,0,1,6.6,6.6,94.4%,ARI,4,2023
37,Joshua Kelley,17,65,3.8,22,1,0,0,0,0,0.0,0,0,1,6.5,6.5,0.0%,FA,4,2023
38,Hunter Luepke,2,4,2.0,3,0,1,0,0,0,0.0,0,0,1,6.4,6.4,0.0%,DAL,4,2023
39,Miles Sanders,13,19,1.5,6,0,0,3,3,13,4.3,0,0,1,6.2,6.2,8.5%,CAR,4,2023
40,Kenneth Gainwell,4,14,3.5,13,0,0,2,2,7,3.5,0,0,1,6.1,6.1,3.0%,PHI,4,2023
41,Rhamondre Stevenson,14,30,2.1,8,0,0,2,3,10,5.0,0,0,1,6.0,6.0,95.2%,NE,4,2023
42,Samaje Perine,6,12,2.0,5,0,0,2,2,23,11.5,0,0,1,5.5,5.5,2.1%,KC,4,2023
43,Raheem Mostert,7,9,1.3,6,0,0,3,5,36,12.0,0,1,1,5.5,5.5,92.7%,MIA,4,2023
44,Emari Demercado,1,3,3.0,3,0,0,3,4,21,7.0,0,0,1,5.4,5.4,0.2%,ARI,4,2023
45,Melvin Gordon III,3,21,7.0,22,1,0,1,1,23,23.0,0,0,1,5.4,5.4,0.0%,FA,4,2023
46,Zach Charbonnet,5,31,6.2,15,0,0,1,3,9,9.0,0,0,1,5.0,5.0,56.2%,SEA,4,2023
47,Pierre Strong Jr.,5,49,9.8,40,1,0,0,0,0,0.0,0,0,1,4.9,4.9,0.8%,CLE,4,2023
48,Isaiah Spiller,5,12,2.4,4,0,0,2,2,15,7.5,0,0,1,4.7,4.7,0.1%,FA,4,2023
49,Ezekiel Elliott,6,16,2.7,9,0,0,2,3,6,3.0,0,0,1,4.2,4.2,81.8%,DAL,4,2023
50,Michael Carter,1,9,9.0,9,0,0,2,3,12,6.0,0,0,1,4.1,4.1,0.3%,ARI,4,2023
51,Javonte Williams,2,0,0.0,1,0,0,3,3,9,3.0,0,0,1,3.9,3.9,90.5%,DEN,4,2023
52,Antonio Gibson,6,19,3.2,10,0,0,1,1,7,7.0,0,0,1,3.6,3.6,34.1%,NE,4,2023
53,Ameer Abdullah,0,0,0.0,0,0,0,2,2,14,7.0,0,0,1,3.4,3.4,0.4%,LV,4,2023
54,Jordan Mason,3,10,3.3,4,0,0,1,1,13,13.0,0,0,1,3.3,3.3,21.4%,SF,4,2023
55,Alec Ingold,0,0,0.0,0,0,0,1,1,23,23.0,0,0,1,3.3,3.3,0.1%,MIA,4,2023
56,Justice Hill,3,33,11.0,15,0,0,0,0,0,0.0,0,0,1,3.3,3.3,3.1%,BAL,4,2023
57,Gary Brightwell,4,9,2.3,4,0,0,1,2,10,10.0,0,0,1,2.9,2.9,0.0%,CLE,4,2023
