Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Tyreek Hill,9,12,102,11.3,35,1,1,1,2,0,0,1,25.4,25.4,100.0%,MIA,12,2023
2,Mike Evans,6,9,70,11.7,23,1,2,0,0,0,0,1,25.0,25.0,99.7%,TB,12,2023
3,Rashee Rice,8,10,107,13.4,39,1,1,0,0,0,0,1,24.7,24.7,94.5%,KC,12,2023
4,DeVonta Smith,7,8,106,15.1,33,1,1,0,0,0,0,1,23.6,23.6,98.0%,PHI,12,2023
5,Nico Collins,7,9,104,14.9,24,2,1,0,0,0,0,1,23.4,23.4,98.9%,HOU,12,2023
6,Zay Flowers,5,8,25,5.0,18,0,1,1,37,1,0,1,23.2,23.2,96.3%,BAL,12,2023
7,Keenan Allen,14,16,106,7.6,21,1,0,0,0,0,1,1,22.6,22.6,93.1%,CHI,12,2023
8,Gabe Davis,6,12,105,17.5,25,2,1,0,0,0,0,1,22.5,22.5,42.9%,JAC,12,2023
9,Deebo Samuel Sr.,7,9,79,11.3,24,2,0,4,15,1,0,1,22.4,22.4,99.5%,SF,12,2023
10,DJ Moore,11,13,114,10.4,36,2,0,0,0,0,0,1,22.4,22.4,98.5%,CHI,12,2023
11,Calvin Ridley,5,6,89,17.8,45,1,1,0,0,0,0,1,21.9,21.9,94.1%,TEN,12,2023
12,Michael Pittman Jr.,10,13,107,10.7,24,1,0,0,0,0,0,1,20.7,20.7,98.6%,IND,12,2023
13,Christian Watson,5,7,94,18.8,53,1,1,0,0,0,0,1,20.4,20.4,87.6%,GB,12,2023
14,Jakobi Meyers,6,7,79,13.2,33,1,1,1,2,0,0,1,20.1,20.1,61.4%,LV,12,2023
15,Jaylen Waddle,8,8,114,14.3,32,2,0,0,0,0,0,1,19.4,19.4,97.7%,MIA,12,2023
16,Stefon Diggs,6,11,74,12.3,22,1,1,0,0,0,0,1,19.4,19.4,98.6%,HOU,12,2023
17,Curtis Samuel,9,12,100,11.1,30,1,0,0,0,0,0,1,19.0,19.0,55.7%,BUF,12,2023
18,Amon-Ra St. Brown,9,11,95,10.6,28,2,0,0,0,0,0,1,18.5,18.5,100.0%,DET,12,2023
19,Chris Olave,7,9,114,16.3,51,2,0,0,0,0,0,1,18.4,18.4,99.3%,NO,12,2023
20,Garrett Wilson,7,10,44,6.3,11,0,1,0,0,0,0,1,17.4,17.4,99.9%,NYJ,12,2023
21,CeeDee Lamb,4,9,53,13.3,16,0,1,1,0,0,0,1,17.3,17.3,100.0%,DAL,12,2023
22,Brandin Cooks,4,5,72,18.0,31,2,1,0,0,0,0,1,17.2,17.2,30.9%,DAL,12,2023
23,Tank Dell,5,8,50,10.0,17,0,1,1,12,0,0,1,17.2,17.2,96.0%,HOU,12,2023
24,Jalin Hyatt,5,6,109,21.8,41,3,0,0,0,0,0,1,15.9,15.9,3.6%,NYG,12,2023
25,Jayden Reed,4,8,34,8.5,14,0,1,2,16,0,0,1,15.0,15.0,89.4%,GB,12,2023
26,Marquise Brown,6,12,88,14.7,36,1,0,0,0,0,0,1,14.8,14.8,76.0%,KC,12,2023
27,A.J. Brown,5,9,37,7.4,11,0,1,0,0,0,0,1,14.7,14.7,100.0%,PHI,12,2023
28,Kalif Raymond,5,5,90,18.0,24,3,0,1,6,0,0,1,14.6,14.6,0.7%,DET,12,2023
29,Drake London,5,7,91,18.2,29,2,0,0,0,0,0,1,14.1,14.1,99.2%,ATL,12,2023
30,Brandon Aiyuk,2,4,50,25.0,28,2,1,0,0,0,0,1,13.0,13.0,99.4%,SF,12,2023
31,Christian Kirk,4,7,89,22.3,57,1,0,0,0,0,0,1,12.9,12.9,90.9%,JAC,12,2023
32,Davante Adams,5,7,73,14.6,33,1,0,0,0,0,0,1,12.3,12.3,99.8%,LV,12,2023
