RANK,PLAYER,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,WEEK
1,Jessie Bates III (ATL),5.0,5.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,28.3,28.3,24.5%,1.0
2,Antoine Winfield Jr. (TB),4.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,22.5,22.5,34.6%,1.0
3,Jordan Whitehead (NYJ),1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,21.8,21.8,13.7%,1.0
4,Jevon Holland (MIA),10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.5,20.5,18.5%,1.0
5,Nate Hobbs (LV),8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,20.0,11.0%,1.0
6,Dax Hill (CIN),5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,19.8,19.8,23.7%,1.0
7,DaRon Bland (DAL),3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,19.5,19.5,27.9%,1.0
8,Tyson Campbell (JAC),6.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,19.5,19.5,1.6%,1.0
9,Amani Hooker (TEN),2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,19.0,19.0,9.5%,1.0
10,Darius Slay (PHI),1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,18.5,18.5,8.1%,1.0
11,Kader Kohou (MIA),6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,17.8,17.8,2.5%,1.0
12,Markquese Bell (DAL),6.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,17.0,17.0,1.7%,1.0
13,Christian Gonzalez (NE),5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,17.0,17.0,1.5%,1.0
14,Tavierre Thomas (HOU),6.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,17.0,17.0,1.4%,1.0
15,Andre Cisco (JAC),7.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,16.8,16.8,1.6%,1.0
16,Reed Blankenship (PHI),7.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,16.5,16.5,29.7%,1.0
17,Talanoa Hufanga (SF),5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,16.5,16.5,14.4%,1.0
18,Brian Branch (DET),2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,16.3,16.3,7.4%,1.0
