RANK,PLAYER,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,WEEK
1,A.J. Epenesa (BUF),2.0,2.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,27.5,27.5,4.1%,5.0
2,Ed Oliver (BUF),5.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,26.0,26.0,8.0%,5.0
3,Zach Sieler (MIA),6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,25.3,25.3,8.7%,5.0
4,Trey Hendrickson (CIN),2.0,2.0,2.5,1.0,0.0,1.0,0.0,0.0,1.0,22.5,22.5,13.7%,5.0
5,Maxx Crosby (LV),4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,20.8,20.8,64.7%,5.0
6,Aidan Hutchinson (DET),3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,20.0,20.0,32.3%,5.0
7,Jalen Carter (PHI),3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,18.3,18.3,4.0%,5.0
8,Montez Sweat (CHI),4.0,2.0,1.5,1.0,0.0,0.0,0.0,0.0,1.0,17.5,17.5,17.0%,5.0
9,Zach Allen (DEN),4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,17.3,17.3,6.5%,5.0
10,Carl Granderson (NO),3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16.8,16.8,16.3%,5.0
11,Dante Stills (ARI),4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16.5,16.5,0.2%,5.0
12,Nik Bonitto (DEN),2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,16.0,1.1%,5.0
13,Haason Reddick (PHI),2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,16.0,14.6%,5.0
14,Jermaine Johnson II (NYJ),2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,14.3,14.3,2.4%,5.0
15,DeMarcus Walker (CHI),2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.5,13.5,0.6%,5.0
16,Kevin Strong (ARI),4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.3,13.3,0.7%,5.0
17,Jonathan Allen (WAS),2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.3,13.3,18.4%,5.0
18,Kingsley Enagbare (GB),2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.8,12.8,0.1%,5.0
19,Kayvon Thibodeaux (NYG),1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,12.8,12.8,14.2%,5.0
20,Kevin Givens (SF),1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,12.8,12.8,0.1%,5.0
21,Brent Urban (BAL),4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.5,12.5,0.0%,5.0
22,Brian Burns (CAR),3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.8,11.8,19.3%,5.0
23,Kenny Clark (GB),2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.8,11.8,2.5%,5.0
24,Yannick Ngakoue (CHI),2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.3,10.3,2.6%,5.0
25,Zach VanValkenburg (LAR),2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.3,10.3,3.0%,5.0
26,Marcus Davenport (MIN),2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.3,10.3,0.8%,5.0
27,Chris Jones (KC),1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,10.3,10.3,14.4%,5.0
28,Mike Danna (KC),2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.3,10.3,3.5%,5.0
29,Will Anderson Jr. (HOU),4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,7.0%,5.0
30,Elijah Garcia (DEN),1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,9.5,9.5,0.0%,5.0
31,Bryce Huff (NYJ),2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.5,9.5,1.2%,5.0
32,Khalil Davis (HOU),3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.3,9.3,0.0%,5.0
33,Nick Bosa (SF),2.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,46.0%,5.0
34,Danielle Hunter (MIN),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.8,8.8,41.2%,5.0
35,Josh Sweat (PHI),3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.5,8.5,10.0%,5.0
36,Sam Hubbard (CIN),3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.5,8.5,14.2%,5.0
37,Daron Payne (WAS),1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.5,8.5,11.9%,5.0
38,Deatrich Wise Jr. (NE),4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.3,8.3,1.6%,5.0
39,Emmanuel Ogbah (MIA),1.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,8.3,8.3,1.1%,5.0
40,Justin Madubuike (BAL),3.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,15.4%,5.0
41,Rasheem Green (CHI),1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,3.1%,5.0
42,Jerry Hughes (HOU),3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.8,7.8,0.6%,5.0
43,Alim McNeill (DET),2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.8,7.8,1.6%,5.0
44,Victor Dimukeje (ARI),3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.8,7.8,0.1%,5.0
45,Jonathan Greenard (HOU),2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.8,7.8,9.9%,5.0
46,Cameron Jordan (NO),0.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,7.5,7.5,7.6%,5.0
47,Calais Campbell (ATL),3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,3.6%,5.0
48,Dylan Horton (HOU),2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,7.0,0.0%,5.0
49,Michael Hoecht (LAR),3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.8,6.8,8.5%,5.0
50,Johnathan Hankins (DAL),2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,6.8,6.8,0.1%,5.0
51,Kobie Turner (LAR),4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.8,6.8,0.6%,5.0
52,Jonathan Bullard (MIN),1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.8,6.8,2.1%,5.0
53,Sheldon Rankins (HOU),2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.3,6.3,1.0%,5.0
54,Raekwon Davis (MIA),2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.3,6.3,0.1%,5.0
