RANK,PLAYER,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,WEEK
1,New Orleans Saints (NO),2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,24.0,24.0,57.7%,5.0
2,Pittsburgh Steelers (PIT),4.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,18.0,18.0,86.2%,5.0
3,New York Jets (NYJ),4.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,18.0,18.0,68.8%,5.0
4,San Francisco 49ers (SF),4.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,16.0,16.0,94.8%,5.0
5,Cincinnati Bengals (CIN),3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,16.0,16.0,23.4%,5.0
6,New York Giants (NYG),1.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,12.0,12.0,15.2%,5.0
7,Las Vegas Raiders (LV),2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,19.5%,5.0
8,Miami Dolphins (MIA),7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,11.0,83.0%,5.0
9,Chicago Bears (CHI),5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,10.0,7.3%,5.0
10,Green Bay Packers (GB),4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,20.6%,5.0
11,Buffalo Bills (BUF),5.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,9.0,9.0,92.6%,5.0
12,Denver Broncos (DEN),4.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,8.0,8.0,30.0%,5.0
13,Detroit Lions (DET),1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,7.0,55.2%,5.0
14,Baltimore Ravens (BAL),3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,90.1%,5.0
15,Kansas City Chiefs (KC),3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,6.0,78.3%,5.0
16,Jacksonville Jaguars (JAC),0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,34.5%,5.0
17,Philadelphia Eagles (PHI),4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,67.2%,5.0
18,Arizona Cardinals (ARI),3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0%,5.0
19,Indianapolis Colts (IND),1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,14.1%,5.0
20,Houston Texans (HOU),0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,4.0,10.4%,5.0
21,Los Angeles Rams (LAR),1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,5.1%,5.0
22,Minnesota Vikings (MIN),2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,43.8%,5.0
23,New England Patriots (NE),2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,40.9%,5.0
24,Atlanta Falcons (ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13.1%,5.0
25,Tennessee Titans (TEN),1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,19.0%,5.0
26,Cleveland Browns (CLE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.5%,5.0
27,Los Angeles Chargers (LAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0%,5.0
28,Seattle Seahawks (SEA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.3%,5.0
29,Tampa Bay Buccaneers (TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0%,5.0
30,Dallas Cowboys (DAL),1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,99.3%,5.0
31,Washington Commanders (WAS),3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,43.3%,5.0
32,Carolina Panthers (CAR),2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,-2.0,6.5%,5.0
