RANK,PLAYER,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,WEEK
1,Riley Patterson (DET),4.0,5.0,80.0,52.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,17.0,17.0,54.8%,8.0
2,Cameron Dicker (LAC),3.0,3.0,100.0,53.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,1.0,16.0,16.0,66.4%,8.0
3,Brandon McManus (JAC),4.0,4.0,100.0,51.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,16.0,16.0,42.5%,8.0
4,Brandon Aubrey (DAL),2.0,2.0,100.0,58.0,0.0,1.0,0.0,0.0,1.0,5.0,5.0,1.0,13.0,13.0,88.8%,8.0
5,Younghoe Koo (ATL),3.0,3.0,100.0,49.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,12.0,12.0,51.0%,8.0
6,Harrison Butker (KC),3.0,3.0,100.0,56.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,11.0,11.0,89.3%,8.0
7,Jake Elliott (PHI),1.0,1.0,100.0,51.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,10.0,10.0,79.7%,8.0
8,Eddy Pineiro (CAR),3.0,3.0,100.0,46.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,10.0,10.0,6.0%,8.0
9,Matt Gay (IND),2.0,2.0,100.0,42.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,10.0,10.0,32.9%,8.0
10,Evan McPherson (CIN),1.0,2.0,50.0,56.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,9.0,9.0,84.9%,8.0
11,Joey Slye (WAS),1.0,1.0,100.0,61.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,9.0,9.0,1.2%,8.0
12,Justin Tucker (BAL),1.0,2.0,50.0,48.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,8.0,8.0,98.9%,8.0
13,Blake Grupe (NO),1.0,1.0,100.0,27.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,8.0,8.0,4.8%,8.0
14,Dustin Hopkins (CLE),2.0,2.0,100.0,27.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,64.1%,8.0
15,Lucas Havrisik (LAR),2.0,2.0,100.0,47.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,7.0,1.2%,8.0
16,Jason Sanders (MIA),1.0,1.0,100.0,30.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,7.0,7.0,35.4%,8.0
17,Greg Zuerlein (NYJ),2.0,2.0,100.0,35.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,7.0,7.0,9.4%,8.0
18,Jason Myers (SEA),1.0,1.0,100.0,32.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,6.0,6.0,59.1%,8.0
19,Wil Lutz (DEN),1.0,2.0,50.0,28.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,6.0,6.0,7.1%,8.0
20,Tyler Bass (BUF),1.0,1.0,100.0,37.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,6.0,6.0,85.5%,8.0
21,Greg Joseph (MIN),1.0,3.0,33.3,25.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,6.0,6.0,12.8%,8.0
