RANK,PLAYER,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,WEEK
1,Ja'Whaun Bentley (NE),10.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,30.3,30.3,9.0%,9.0
2,Jordan Hicks (MIN),9.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,25.5,25.5,26.4%,9.0
3,Lavonte David (TB),9.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,24.0,24.0,39.8%,9.0
4,T.J. Edwards (CHI),10.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,22.8,22.8,89.5%,9.0
5,Demario Davis (NO),7.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,22.5,22.5,12.6%,9.0
6,Khalil Mack (LAC),3.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,22.0,22.0,21.4%,9.0
7,Nate Landman (ATL),5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,21.8,21.8,10.5%,9.0
8,Micah Parsons (DAL),5.0,4.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,19.0,19.0,62.8%,9.0
9,Jordyn Brooks (SEA),8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,17.5,17.5,28.9%,9.0
10,Alex Highsmith (PIT),2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,17.5,17.5,22.8%,9.0
11,Zach Cunningham (PHI),8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,17.5,17.5,3.3%,9.0
12,Kyle Van Noy (BAL),2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,17.5,17.5,0.3%,9.0
13,Tyrel Dodson (BUF),7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,17.0,1.7%,9.0
14,Devin White (TB),5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,17.0,22.1%,9.0
15,Germaine Pratt (CIN),6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,16.8,16.8,14.2%,9.0
16,Damone Clark (DAL),8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.8,16.8,6.3%,9.0
17,Blake Cashman (HOU),5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.3,16.3,11.1%,9.0
18,Bobby Wagner (SEA),6.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,15.3,15.3,75.4%,9.0
