RANK,PLAYER,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Josh Allen (BUF),21.0,25.0,84.0,320.0,12.8,4.0,0.0,2.0,4.0,17.0,1.0,0.0,1.0,36.5,36.5,100.0%,4.0
2,Anthony Richardson (IND),11.0,25.0,44.0,200.0,8.0,2.0,0.0,2.0,10.0,56.0,1.0,1.0,1.0,29.6,29.6,23.7%,4.0
3,Justin Fields (CHI),28.0,35.0,80.0,335.0,9.6,4.0,1.0,4.0,4.0,25.0,0.0,1.0,1.0,28.9,28.9,87.7%,4.0
4,Lamar Jackson (BAL),15.0,19.0,78.9,186.0,9.8,2.0,0.0,3.0,9.0,27.0,2.0,1.0,1.0,28.1,28.1,99.8%,4.0
5,Justin Herbert (LAC),13.0,24.0,54.2,167.0,7.0,1.0,1.0,2.0,12.0,27.0,2.0,0.0,1.0,24.4,24.4,98.8%,4.0
6,Jalen Hurts (PHI),25.0,37.0,67.6,319.0,8.6,2.0,0.0,3.0,9.0,34.0,0.0,0.0,1.0,24.2,24.2,100.0%,4.0
7,Baker Mayfield (TB),25.0,32.0,78.1,246.0,7.7,3.0,1.0,1.0,8.0,31.0,0.0,0.0,1.0,23.9,23.9,51.1%,4.0
8,Joshua Dobbs (MIN),28.0,41.0,68.3,265.0,6.5,2.0,0.0,1.0,12.0,48.0,0.0,0.0,1.0,23.4,23.4,67.9%,4.0
9,Russell Wilson (DEN),21.0,28.0,75.0,223.0,8.0,3.0,0.0,1.0,4.0,13.0,0.0,0.0,1.0,22.2,22.2,56.2%,4.0
10,C.J. Stroud (HOU),16.0,30.0,53.3,306.0,10.2,2.0,0.0,0.0,4.0,16.0,0.0,0.0,1.0,21.8,21.8,93.3%,4.0
11,Brock Purdy (SF),20.0,21.0,95.2,283.0,13.5,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,21.3,21.3,86.4%,4.0
12,Jordan Love (GB),23.0,36.0,63.9,246.0,6.8,1.0,2.0,5.0,2.0,-2.0,1.0,0.0,1.0,19.6,19.6,48.7%,4.0
13,Sam Howell (WAS),29.0,41.0,70.7,290.0,7.1,1.0,0.0,5.0,6.0,40.0,0.0,0.0,1.0,19.6,19.6,75.6%,4.0
14,Zach Wilson (NYJ),28.0,39.0,71.8,245.0,6.3,2.0,0.0,2.0,2.0,14.0,0.0,1.0,1.0,19.2,19.2,5.7%,4.0
15,Matthew Stafford (LAR),27.0,40.0,67.5,319.0,8.0,1.0,1.0,2.0,2.0,14.0,0.0,0.0,1.0,17.2,17.2,39.7%,4.0
16,Trevor Lawrence (JAC),23.0,30.0,76.7,207.0,6.9,1.0,0.0,2.0,8.0,42.0,0.0,0.0,1.0,16.5,16.5,89.5%,4.0
17,Patrick Mahomes II (KC),18.0,30.0,60.0,203.0,6.8,1.0,2.0,1.0,7.0,51.0,0.0,0.0,1.0,15.2,15.2,100.0%,4.0
18,Tua Tagovailoa (MIA),25.0,35.0,71.4,282.0,8.1,1.0,1.0,4.0,2.0,7.0,0.0,0.0,1.0,15.0,15.0,96.8%,4.0
19,Dak Prescott (DAL),28.0,34.0,82.4,261.0,7.7,1.0,0.0,3.0,1.0,-1.0,0.0,0.0,1.0,14.3,14.3,96.3%,4.0
20,Ryan Tannehill (TEN),18.0,25.0,72.0,240.0,9.6,1.0,1.0,3.0,6.0,11.0,0.0,0.0,1.0,13.7,13.7,1.8%,4.0
21,Jared Goff (DET),19.0,28.0,67.9,210.0,7.5,1.0,1.0,2.0,2.0,10.0,0.0,0.0,1.0,12.4,12.4,83.7%,4.0
22,Kirk Cousins (MIN),12.0,19.0,63.2,139.0,7.3,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,11.6,11.6,23.6%,4.0
23,Aidan O'Connell (LV),24.0,39.0,61.5,238.0,6.1,0.0,1.0,7.0,3.0,3.0,1.0,2.0,1.0,10.8,10.8,3.8%,4.0
24,Daniel Jones (NYG),27.0,34.0,79.4,203.0,6.0,0.0,2.0,10.0,10.0,66.0,0.0,1.0,1.0,10.7,10.7,21.4%,4.0
25,Geno Smith (SEA),13.0,20.0,65.0,110.0,5.5,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,9.2,9.2,65.1%,4.0
26,Desmond Ridder (ATL),19.0,31.0,61.3,191.0,6.2,1.0,2.0,4.0,1.0,6.0,0.0,1.0,1.0,8.2,8.2,4.3%,4.0
27,Bryce Young (CAR),25.0,32.0,78.1,204.0,6.4,0.0,0.0,5.0,2.0,10.0,0.0,1.0,1.0,7.2,7.2,13.3%,4.0
28,Joe Burrow (CIN),20.0,30.0,66.7,165.0,5.5,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,4.7,4.7,65.9%,4.0
29,Kenny Pickett (PIT),15.0,23.0,65.2,114.0,5.0,0.0,1.0,3.0,2.0,9.0,0.0,0.0,1.0,4.5,4.5,15.9%,4.0
30,Dorian Thompson-Robinson (CLE),19.0,36.0,52.8,121.0,3.4,0.0,3.0,4.0,4.0,24.0,0.0,0.0,1.0,4.2,4.2,4.2%,4.0
31,Drew Lock (SEA),2.0,6.0,33.3,63.0,10.5,0.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,3.6,3.6,0.1%,4.0
32,Derek Carr (NO),23.0,37.0,62.2,127.0,3.4,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,3.2,3.2,31.7%,4.0
33,Mac Jones (NE),12.0,21.0,57.1,150.0,7.1,0.0,2.0,1.0,3.0,7.0,0.0,1.0,1.0,2.7,2.7,5.9%,4.0
34,Bailey Zappe (NE),4.0,9.0,44.4,57.0,6.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.3,2.3,0.6%,4.0
35,Tyler Huntley (BAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,1.0,0.8,0.8,0.1%,4.0
36,Mitch Trubisky (PIT),3.0,5.0,60.0,18.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.7,0.2%,4.0
37,Cooper Rush (DAL),2.0,2.0,100.0,20.0,10.0,0.0,0.0,0.0,3.0,-2.0,0.0,0.0,1.0,0.6,0.6,0.1%,4.0
38,Aaron Rodgers (NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7%,4.0
39,Jake Luton (CAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,4.0
40,Kellen Mond (IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,4.0
41,Shane Buechele (BUF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,4.0
42,Jarrett Stidham (DEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,4.0
43,David Blough (DET),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,4.0
44,Jacob Eason (NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,4.0
45,Jake Fromm (WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,4.0
46,Kyle Trask (TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,4.0
47,Sam Ehlinger (IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,4.0
48,Ben DiNucci (DEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,4.0
49,Trey Lance (DAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7%,4.0
50,Sean Clifford (GB),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,4.0
51,Feleipe Franks (ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,4.0
52,Davis Mills (HOU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,4.0
53,Chris Oladokun (KC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,4.0
54,Jake Haener (NO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,4.0
55,Tanner McKee (PHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,4.0
56,Hendon Hooker (DET),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,4.0
57,Tommy DeVito (NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2%,4.0
58,Clayton Tune (ARI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6%,4.0
59,Nathan Rourke (JAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,4.0
60,Tyson Bagent (CHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0%,4.0
61,Cephus Johnson III (TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%,4.0
62,Drew Plitt (CIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,4.0
