RANK,PLAYER,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,D'Onta Foreman (CHI),16.0,89.0,5.6,14.0,0.0,2.0,3.0,5.0,31.0,10.3,1.0,0.0,1.0,33.0,33.0,50.2%,7.0
2,Alvin Kamara (NO),17.0,62.0,3.6,17.0,0.0,0.0,12.0,14.0,91.0,7.6,0.0,0.0,1.0,29.3,29.3,98.6%,7.0
3,Jahmyr Gibbs (DET),11.0,68.0,6.2,21.0,1.0,1.0,9.0,10.0,58.0,6.4,0.0,0.0,1.0,27.6,27.6,98.8%,7.0
4,Travis Etienne Jr. (JAC),14.0,53.0,3.8,17.0,0.0,2.0,3.0,5.0,24.0,8.0,0.0,0.0,1.0,22.7,22.7,99.9%,7.0
5,Christian McCaffrey (SF),15.0,45.0,3.0,9.0,0.0,1.0,3.0,3.0,51.0,17.0,1.0,1.0,1.0,22.6,22.6,100.0%,7.0
6,Gus Edwards (BAL),14.0,64.0,4.6,20.0,1.0,1.0,1.0,1.0,80.0,80.0,0.0,0.0,1.0,21.4,21.4,85.8%,7.0
7,Jonathan Taylor (IND),18.0,75.0,4.2,24.0,1.0,1.0,3.0,4.0,45.0,15.0,0.0,0.0,1.0,21.0,21.0,98.5%,7.0
8,James Cook (BUF),13.0,56.0,4.3,20.0,1.0,0.0,3.0,3.0,46.0,15.3,1.0,0.0,1.0,19.2,19.2,94.7%,7.0
9,Saquon Barkley (NYG),21.0,77.0,3.7,12.0,0.0,0.0,3.0,4.0,41.0,13.7,1.0,1.0,1.0,18.8,18.8,100.0%,7.0
10,Jerome Ford (CLE),11.0,74.0,6.7,69.0,4.0,1.0,2.0,4.0,20.0,10.0,0.0,0.0,1.0,17.4,17.4,87.4%,7.0
11,Isiah Pacheco (KC),13.0,32.0,2.5,6.0,0.0,0.0,4.0,4.0,28.0,7.0,1.0,0.0,1.0,16.0,16.0,96.2%,7.0
12,Rachaad White (TB),13.0,34.0,2.6,13.0,0.0,0.0,6.0,6.0,65.0,10.8,0.0,0.0,1.0,15.9,15.9,95.1%,7.0
13,Najee Harris (PIT),14.0,53.0,3.8,10.0,0.0,1.0,3.0,3.0,15.0,5.0,0.0,0.0,1.0,15.8,15.8,93.0%,7.0
14,Kareem Hunt (CLE),10.0,31.0,3.1,11.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15.1,15.1,65.9%,7.0
15,Rhamondre Stevenson (NE),9.0,34.0,3.8,14.0,0.0,0.0,6.0,6.0,51.0,8.5,0.0,0.0,1.0,14.5,14.5,95.1%,7.0
16,Tyler Allgeier (ATL),21.0,59.0,2.8,12.0,0.0,0.0,3.0,3.0,53.0,17.7,0.0,0.0,1.0,14.2,14.2,50.6%,7.0
17,Darrell Henderson Jr. (LAR),18.0,61.0,3.4,16.0,0.0,1.0,1.0,2.0,5.0,5.0,0.0,0.0,1.0,13.6,13.6,38.3%,7.0
18,Joshua Kelley (LAC),7.0,75.0,10.7,49.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.5,13.5,13.4%,7.0
19,Kenneth Walker III (SEA),26.0,105.0,4.0,25.0,1.0,0.0,2.0,3.0,6.0,3.0,0.0,0.0,1.0,13.1,13.1,98.0%,7.0
20,Javonte Williams (DEN),15.0,82.0,5.5,21.0,1.0,0.0,3.0,4.0,14.0,4.7,0.0,0.0,1.0,12.6,12.6,91.3%,7.0
21,AJ Dillon (GB),15.0,61.0,4.1,15.0,0.0,0.0,2.0,2.0,34.0,17.0,0.0,0.0,1.0,11.5,11.5,65.8%,7.0
