RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Trey McBride (ARI),10.0,14.0,95.0,9.5,22.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,25.5,25.5,76.8%,8.0
2,George Kittle (SF),9.0,11.0,149.0,16.6,34.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,23.9,23.9,99.4%,8.0
3,Taysom Hill (NO),1.0,1.0,14.0,14.0,14.0,0.0,0.0,9.0,63.0,2.0,0.0,1.0,22.5,22.5,63.8%,8.0
4,T.J. Hockenson (MIN),6.0,9.0,88.0,14.7,23.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,20.8,20.8,99.9%,8.0
5,Sam LaPorta (DET),8.0,10.0,57.0,7.1,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,19.7,19.7,96.3%,8.0
6,Cole Kmet (CHI),10.0,10.0,79.0,7.9,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.9,17.9,86.1%,8.0
7,David Njoku (CLE),4.0,8.0,77.0,19.3,41.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,17.7,17.7,85.4%,8.0
8,Dalton Kincaid (BUF),5.0,7.0,65.0,13.0,22.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,17.5,17.5,93.4%,8.0
9,Evan Engram (JAC),10.0,10.0,88.0,8.8,34.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,16.8,16.8,92.8%,8.0
10,Logan Thomas (WAS),6.0,8.0,44.0,7.3,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,16.4,16.4,61.3%,8.0
11,Jake Ferguson (DAL),4.0,4.0,47.0,11.8,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.7,14.7,82.4%,8.0
12,Donald Parham Jr. (LAC),4.0,5.0,43.0,10.8,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.3,14.3,4.7%,8.0
13,Mark Andrews (BAL),4.0,5.0,40.0,10.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,14.0,80.4%,8.0
14,Travis Kelce (KC),6.0,9.0,58.0,9.7,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.8,11.8,100.0%,8.0
15,Andrew Ogletree (IND),1.0,3.0,33.0,33.0,33.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,10.3,10.3,0.1%,8.0
16,Tyler Higbee (LAR),5.0,7.0,45.0,9.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.5,9.5,40.8%,8.0
17,Cade Otton (TB),4.0,6.0,27.0,6.8,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.7,8.7,26.1%,8.0
18,Tommy Tremble (CAR),2.0,3.0,4.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.4,8.4,0.2%,8.0
19,Dallas Goedert (PHI),4.0,7.0,36.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.6,7.6,79.2%,8.0
20,Connor Heyward (PIT),5.0,6.0,24.0,4.8,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.4,7.4,0.7%,8.0
21,Chigoziem Okonkwo (TEN),4.0,5.0,23.0,5.8,12.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,6.7,6.7,24.1%,8.0
22,Kyle Pitts (ATL),3.0,5.0,35.0,11.7,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.5,6.5,83.4%,8.0
23,Andrew Beck (HOU),1.0,1.0,8.0,8.0,8.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,5.9,5.9,0.0%,8.0
24,Durham Smythe (MIA),3.0,3.0,28.0,9.3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.8,5.8,0.5%,8.0
25,Hunter Henry (NE),3.0,3.0,28.0,9.3,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.8,5.8,22.4%,8.0
26,Pharaoh Brown (NE),2.0,2.0,33.0,16.5,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.3,5.3,0.0%,8.0
27,Noah Fant (SEA),2.0,3.0,32.0,16.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.2,5.2,1.9%,8.0
28,Irv Smith Jr. (CIN),4.0,4.0,25.0,6.3,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.5,4.5,4.0%,8.0
29,Noah Gray (KC),2.0,3.0,25.0,12.5,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,4.5,1.1%,8.0
30,Austin Hooper (LV),2.0,2.0,19.0,9.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9,3.9,0.3%,8.0
31,Mike Gesicki (NE),2.0,3.0,11.0,5.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.1,3.1,3.5%,8.0
32,C.J. Uzomah (NYJ),1.0,1.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.9,2.9,0.1%,8.0
33,Luke Musgrave (GB),2.0,3.0,9.0,4.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.9,2.9,29.2%,8.0
34,Michael Mayer (LV),1.0,2.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.9,2.9,8.7%,8.0
35,John Bates (WAS),1.0,1.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.7,2.7,0.1%,8.0
36,Dalton Schultz (HOU),2.0,5.0,5.0,2.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,90.3%,8.0
37,Luke Schoonmaker (DAL),1.0,1.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.3,2.3,0.3%,8.0
38,Stephen Sullivan (CAR),1.0,1.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.3,2.3,0.0%,8.0
39,Jonnu Smith (ATL),1.0,1.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.3,2.3,27.2%,8.0
40,Mo Alie-Cox (IND),1.0,2.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1,2.1,0.1%,8.0
41,Isaiah Likely (BAL),1.0,1.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,31.1%,8.0
42,Robert Tonyan (CHI),1.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8,1.8,0.1%,8.0
43,Johnny Mundt (MIN),1.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8,1.8,0.0%,8.0
44,Will Mallory (IND),1.0,2.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,1.6,0.0%,8.0
45,Jordan Akins (CLE),1.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,1.6,0.0%,8.0
46,Juwan Johnson (NO),1.0,2.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,8.6%,8.0
47,Brock Wright (DET),1.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0.1%,8.0
48,Luke Farrell (JAC),1.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0.0%,8.0
49,Darren Waller (NYG),1.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,1.4,65.1%,8.0
50,Julian Hill (MIA),1.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,1.4,0.0%,8.0
51,MyCole Pruitt (ATL),1.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3,1.3,0.0%,8.0
52,Nick Bowers (MIA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,8.0
53,Feleipe Franks (ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,8.0
54,Brevin Jordan (HOU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,8.0
55,Pat Freiermuth (PIT),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.8%,8.0
56,Reggie Gilliam (BUF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1%,8.0
57,Dawson Knox (BUF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7%,8.0
58,Foster Moreau (NO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1%,8.0
59,Jesper Horsted (LV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,8.0
