RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Calvin Ridley (JAC),7.0,9.0,103.0,14.7,34.0,4.0,2.0,1.0,18.0,0.0,0.0,1.0,31.1,31.1,95.0%,11.0
2,Tyreek Hill (MIA),10.0,11.0,146.0,14.6,38.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,30.6,30.6,100.0%,11.0
3,Tank Dell (HOU),8.0,10.0,149.0,18.6,40.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,28.9,28.9,87.3%,11.0
4,Keenan Allen (LAC),10.0,16.0,116.0,11.6,38.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,27.6,27.6,99.4%,11.0
5,Brandon Aiyuk (SF),5.0,6.0,156.0,31.2,76.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,26.6,26.6,97.5%,11.0
6,DJ Moore (CHI),7.0,9.0,96.0,13.7,39.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,22.6,22.6,97.2%,11.0
7,Amon-Ra St. Brown (DET),8.0,11.0,77.0,9.6,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,21.7,21.7,100.0%,11.0
8,Davante Adams (LV),7.0,13.0,82.0,11.7,46.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,21.2,21.2,100.0%,11.0
9,Khalil Shakir (BUF),3.0,4.0,115.0,38.3,81.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,20.5,20.5,10.8%,11.0
10,DK Metcalf (SEA),5.0,9.0,94.0,18.8,53.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,20.4,20.4,98.1%,11.0
11,Jayden Reed (GB),4.0,6.0,46.0,11.5,19.0,0.0,0.0,3.0,46.0,1.0,0.0,1.0,19.2,19.2,35.9%,11.0
